,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
42,899931,14008483769,0.04,0.0,0.32386363636363635,0.2727272727272727,176.0,SenArlenSpecter,0.07197717,D,0,2,
43,1317151,16169253036,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,PaulHodes,0.09952973,D,0,0,
44,420948,23171745586,0.1,-1.0,-0.9268292682926829,-0.6341463414634146,41.0,russfeingold,0.08202321,D,0,0,
45,1317151,23171745586,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,russfeingold,0.08202321,D,0,0,
46,591559,23171745586,0.24,-1.0,-0.8490566037735849,-0.7358490566037735,53.0,russfeingold,0.08202321,D,0,0,
47,272744,23171745586,0.01,-1.0,-1.2692307692307692,-0.9615384615384616,52.0,russfeingold,0.08202321,D,0,0,
48,107554,14244140093,0.0,-1.0,-1.1640625,-0.8671875,128.0,SenArlenSpecter,0.0830619,D,0,2,
49,129885,16324834874,0.16,-1.0,-1.1904761904761905,-0.8707482993197279,147.0,RepMaryJoKilroy,0.17796339,D,1,14,
50,1318451,16324834874,0.09,-2.0,-1.5943661971830987,-0.8704225352112677,355.0,RepMaryJoKilroy,0.17796339,D,1,14,
51,420948,12652648681,0.1,-1.0,-0.9268292682926829,-0.6341463414634146,41.0,russfeingold,0.093282446,D,1,19,
52,1123156,12652648681,0.37,-1.0,-0.5,-0.6666666666666667,6.0,russfeingold,0.093282446,D,1,19,
53,359866,12652648681,0.02,-1.0,-1.176470588235294,-0.8235294117647058,17.0,russfeingold,0.093282446,D,1,19,
54,1197365,12652648681,0.25,-1.0,-1.2522522522522521,-0.8783783783783784,222.0,russfeingold,0.093282446,D,1,19,
55,1526229,29535723173,0.62,-2.0,-1.263157894736842,-0.7368421052631579,19.0,russfeingold,0.123761915,D,0,0,
56,360497,29535723173,0.12,-1.0,-0.8673469387755102,-0.6938775510204082,196.0,russfeingold,0.123761915,D,0,0,
57,363815,29535723173,0.07,-1.0,-0.5714285714285714,-0.5102040816326531,49.0,russfeingold,0.123761915,D,0,0,
58,296720,29535723173,0.39,-1.0,-0.9285714285714286,-0.6428571428571429,14.0,russfeingold,0.123761915,D,0,0,
59,1536456,29535723173,0.22,,,,,russfeingold,0.123761915,D,0,0,
60,564088,29535723173,0.04,-1.0,-1.0816326530612246,-0.8537414965986394,294.0,russfeingold,0.123761915,D,0,0,
61,1356547,29535723173,0.22,-1.0,-0.9166666666666665,-0.625,24.0,russfeingold,0.123761915,D,0,0,
