,cong_position,Retweets,Likes,negemo,is_policy,CAP_Policy,Incivility,weighted_pol,cat
122,D,0,0,0.0,1,15,0.068207644,,
123,D,0,0,4.55,0,0,0.105079114,,
124,D,0,0,0.0,1,1,0.050796077,,
125,D,0,0,0.0,1,6,0.038555227,,
126,D,0,0,0.0,0,0,0.068631366,,
127,D,0,0,0.0,0,0,0.0865998,,
128,D,0,0,0.0,0,0,0.06893879,,
129,D,0,0,5.88,1,19,0.19608806,,
130,D,0,0,0.0,0,0,0.020435097,,
131,D,0,0,0.0,1,14,0.07214972,,
132,D,0,0,0.0,1,3,0.025813747,,
133,D,0,0,0.0,0,0,0.041694578,,
134,D,0,0,0.0,0,0,0.04587622,,Democrat In-Group
135,D,1,0,0.0,1,14,0.033206854,0.2883435582822086,
136,D,0,0,0.0,0,19,0.09817106,,
137,D,0,0,0.0,0,0,0.10353596,,
138,D,0,0,0.0,0,2,0.069898926,,
139,D,0,0,0.0,1,1,0.0534328,,
140,D,0,0,0.0,1,1,0.07499913,,
141,D,0,0,0.0,0,0,0.1806277,,
142,D,0,0,0.0,0,1,0.052097645,,
143,D,0,1,0.0,1,10,0.08971964,,
144,D,0,0,0.0,0,0,0.08321573,,
145,D,0,0,9.52,1,15,0.13879089,,
146,D,0,0,0.0,0,0,0.06685275,,
147,D,0,0,0.0,0,0,0.1850624,,
148,D,0,0,4.76,0,0,0.06029807,,
149,D,0,0,5.26,1,11,0.014226259,,
150,D,0,0,0.0,0,0,0.122165754,,Democrat In-Group
151,D,0,0,0.0,0,11,0.06647246,,
152,D,0,0,0.0,0,0,0.07693447,,
153,D,0,0,0.0,0,14,0.045299493,,
154,D,0,0,0.0,0,0,0.06602029,,
155,D,0,0,0.0,0,0,0.071946405,,
156,D,0,0,0.0,0,0,0.0721903,,
157,D,0,0,0.0,1,1,0.07275652,,
158,D,0,0,0.0,1,1,0.04787776,,
159,D,0,0,0.0,0,0,0.06424311,,
160,D,0,0,0.0,1,1,0.060398668,,
161,D,0,0,0.0,0,0,0.09073507,,
162,D,0,0,0.0,0,0,0.07126886,,
163,D,0,0,0.0,1,15,0.16396649,,
164,D,0,0,0.0,0,0,0.06432229,,
165,D,0,0,0.0,1,6,0.106963724,,
166,D,0,0,0.0,0,0,0.07154469,,Democrat Out-Group
167,D,0,0,0.0,0,0,0.059952565,,
168,D,0,0,0.0,1,14,0.086911164,,
169,D,0,0,5.0,1,8,0.06000218,,
170,D,0,0,0.0,0,0,0.10244332,,
171,D,0,0,0.0,1,13,0.07009094,,
172,D,0,0,4.55,1,10,0.12633985,,
173,D,0,0,0.0,1,1,0.046976242,,
174,D,0,0,0.0,1,1,0.013205716,,
175,D,0,0,0.0,0,0,0.07118116,,
176,D,0,0,0.0,0,10,0.10264209,,
177,D,0,0,0.0,1,15,0.0283981,,
178,D,0,0,0.0,1,10,0.025966499,,
179,D,0,0,0.0,1,9,0.079731055,,
180,D,0,0,0.0,0,12,0.08093023,,
181,D,0,0,0.0,0,11,0.07951067,,
182,D,0,1,3.85,1,5,0.07207331,,
183,D,0,0,0.0,0,0,0.06213607,,
184,D,0,0,0.0,0,0,0.12949124,,
185,D,0,0,4.17,0,0,0.0918674,,
186,D,0,0,0.0,0,0,0.073148,,
187,D,0,0,0.0,0,0,0.081239104,,Democrat In-Group
188,D,0,0,0.0,0,0,0.041461878,,
189,D,0,0,4.0,1,8,0.033378784,,
190,D,0,0,0.0,0,2,0.11672777,,
191,D,0,0,0.0,1,6,0.20035425,,
192,D,0,0,0.0,0,0,0.06592866,,Democrat In-Group
193,R,0,0,0.0,0,0,0.28076613,,
194,R,0,0,0.0,0,0,0.117506206,,
195,R,0,0,0.0,0,19,0.06760381,,
196,R,0,0,0.0,1,8,0.20905471,,
197,R,0,0,0.0,1,8,0.09321214,,
198,R,0,0,5.56,0,0,0.19753297,,
199,R,0,0,3.57,1,8,0.106940396,,
